Open,High,Low,Adj Close,Date
230.25,231.22,227.4,229.09,9/16/2015
230.49,259.18,229.82,230.3,9/15/2015
230.61,232.44,227.96,230.64,9/14/2015
235.24,235.94,229.33,230.51,9/13/2015
239.86,240.12,234.75,235.23,9/12/2015
238.33,241.17,238.33,240.11,9/11/2015
238.34,241.29,235.79,238.48,9/10/2015
243.42,244.42,237.82,238.17,9/9/2015
239.85,245.78,239.68,243.61,9/8/2015
239.93,242.11,238.72,239.85,9/7/2015
234.87,242.91,234.68,239.84,9/6/2015
230.2,236.14,229.44,235.02,9/5/2015
227.22,230.9,227.05,230.3,9/4/2015
229.32,229.61,226.67,227.18,9/3/2015
228.03,230.58,226.48,229.28,9/2/2015
230.26,231.22,226.86,228.12,9/1/2015
229.11,231.96,225.92,230.06,8/31/2015
229.9,232.07,226.25,228.76,8/30/2015
231.55,233.22,227.33,229.78,8/29/2015
224.7,235.22,220.93,231.4,8/28/2015
226.05,228.64,223.68,224.77,8/27/2015
222.08,231.18,220.2,225.83,8/26/2015
210.07,226.32,199.57,221.61,8/25/2015
228.11,228.14,210.44,210.5,8/24/2015
230.38,232.71,225.58,228.17,8/23/2015
232.66,234.96,222.7,230.39,8/22/2015
235.36,236.43,231.72,232.57,8/21/2015
226.9,237.37,226.9,235.35,8/20/2015
225.67,237.41,222.77,226.68,8/19/2015
257.93,257.99,211.08,211.08,8/18/2015
258.49,260.51,257.12,257.98,8/17/2015
261.87,262.44,257.04,258.51,8/16/2015
265.53,266.67,261.3,261.55,8/15/2015
264.13,267.47,261.48,265.68,8/14/2015
266.18,266.23,262.84,264.08,8/13/2015
270.6,270.67,265.47,266.38,8/12/2015
264.34,270.39,264.09,270.39,8/11/2015
265.48,267.03,262.6,264.47,8/10/2015
261.12,267,260.47,265.08,8/9/2015
279.74,279.93,260.71,261,8/8/2015
278.74,280.39,276.37,279.59,8/7/2015
281.91,281.91,278.4,278.58,8/6/2015
284.85,285.5,281.49,281.88,8/5/2015
281.23,285.72,281.23,285.22,8/4/2015
282.81,285.47,280.23,281.23,8/3/2015
280.45,283.03,277.53,282.61,8/2/2015
284.69,284.93,278.11,281.6,8/1/2015
287.7,288.96,282.34,284.65,7/31/2015
289.1,290.13,286.57,287.72,7/30/2015
294.48,294.54,288.78,289.59,7/29/2015
293.63,296.65,293.42,294.43,7/28/2015
292.64,297.77,287.45,293.62,7/27/2015
288.64,293.05,287.71,292.69,7/26/2015
288.16,290.73,286,288.7,7/25/2015
276.01,289.25,275.25,288.28,7/24/2015
277.34,278.11,275.72,276.05,7/23/2015
275.66,277.67,274.38,277.22,7/22/2015
278.88,280.55,275.42,275.83,7/21/2015
273.5,278.98,272.96,278.98,7/20/2015
274.77,275.67,272.51,273.61,7/19/2015
279.33,282.53,274.08,274.9,7/18/2015
278.09,280.28,272.04,279.47,7/17/2015
286.04,291.18,275.24,278.09,7/16/2015
288.05,293.25,285.37,285.83,7/15/2015
292.03,296.15,286.64,287.46,7/14/2015
310.83,310.95,281.01,292.05,7/13/2015
293.14,314.39,292.51,310.87,7/12/2015
284.88,298.51,283.53,293.12,7/11/2015
269.16,294.59,268.8,284.89,7/10/2015
270.83,272.34,267.09,269.23,7/9/2015
265.98,272.97,264.39,270.79,7/8/2015
269.96,271.34,264.83,266.21,7/7/2015
271.11,277.42,267.6,269.03,7/6/2015
260.81,274.51,258.7,271.91,7/5/2015
256.49,261.46,254.2,260.89,7/4/2015
255.46,257.08,253.51,256.34,7/3/2015
258.55,261.63,254.12,255.41,7/2/2015
263.35,265.17,255.77,258.62,7/1/2015
257.04,267.87,255.95,263.07,6/30/2015
248.72,257.17,248.58,257.06,6/29/2015
250.96,251.17,247.43,249.01,6/28/2015
243.55,251.34,243.12,250.99,6/27/2015
242.6,243.75,241.55,243.59,6/26/2015
240.37,243.33,240.37,242.8,6/25/2015
244.28,244.34,240.52,240.52,6/24/2015
246.93,247.3,243.13,244.3,6/23/2015
243.97,247.92,243.78,246.99,6/22/2015
245.1,245.22,241.88,243.94,6/21/2015
244.53,245.83,240.63,245.21,6/20/2015
249.04,250.98,243.79,244.61,6/19/2015
249.43,252.11,244.13,249.01,6/18/2015
250.82,256.85,246.48,249.28,6/17/2015
236.77,251.74,236.12,250.9,6/16/2015
233.42,237.84,233.42,236.82,6/15/2015
232.44,234.86,232,233.54,6/14/2015
229.92,232.65,229.21,232.4,6/13/2015
229.71,231.06,229.31,229.98,6/12/2015
228.86,230.29,228.77,229.71,6/11/2015
229,229.78,228.01,228.8,6/10/2015
228.54,230.95,227.93,229.05,6/9/2015
222.88,229.46,222.84,228.49,6/8/2015
225.6,226.19,222.65,222.88,6/7/2015
225.01,225.72,224.38,225.62,6/6/2015
224.15,225.97,223.18,224.95,6/5/2015
225.77,226.58,224.05,224.32,6/4/2015
225.74,227.4,223.93,225.87,6/3/2015
222.89,226.42,222.42,225.8,6/2/2015
230.23,231.71,221.3,222.93,6/1/2015
233.14,233.25,229.54,230.19,5/31/2015
237.09,237.09,232.05,233.35,5/30/2015
237.38,237.52,235.73,237.1,5/29/2015
237.26,237.82,236.65,237.41,5/28/2015
237.07,238.64,236.7,237.28,5/27/2015
237.1,238.24,235.69,237.12,5/26/2015
240.93,241.02,236.64,237.11,5/25/2015
238.98,241.98,238.81,240.95,5/24/2015
240.29,241.03,238.69,238.87,5/23/2015
235.32,240.97,235.06,240.35,5/22/2015
234.02,236.24,233.84,235.34,5/21/2015
231.89,234.68,231.84,234.02,5/20/2015
233.04,234.15,231.82,231.95,5/19/2015
236.89,237.21,232.46,233.13,5/18/2015
236.01,238.03,236.01,236.8,5/17/2015
237.64,237.7,235.3,236.15,5/16/2015
236.96,238.75,236.8,237.61,5/15/2015
236.21,237.8,234.06,236.93,5/14/2015
241.4,243.7,235.05,236.38,5/13/2015
242.15,242.88,240.1,241.11,5/12/2015
240.3,244.27,239.38,242.16,5/11/2015
241.73,244.07,238.85,240.3,5/10/2015
243.77,247.8,239.64,241.83,5/9/2015
237.2,246.28,236.27,243.86,5/8/2015
229.66,239.11,228.57,237.33,5/7/2015
236.25,236.45,229.23,229.78,5/6/2015
238.85,239.2,232.05,236.12,5/5/2015
240.36,242.64,237.81,239.02,5/4/2015
234.88,243.24,234.08,240.36,5/3/2015
232.34,235.73,232.34,234.93,5/2/2015
235.94,238.97,232.08,232.08,5/1/2015
225.69,239.56,224.99,236.15,4/30/2015
225.59,227.04,223.43,225.81,4/29/2015
228.97,229.5,223.07,225.86,4/28/2015
219.43,233.31,218.02,229.29,4/27/2015
226.41,226.94,214.87,219.43,4/26/2015
231.24,232.56,226.34,226.39,4/25/2015
235.97,236.31,229.93,231.27,4/24/2015
234.05,236.48,233.2,236.46,4/23/2015
235.6,237.91,233.48,234.18,4/22/2015
224.62,235.27,224.3,235.27,4/21/2015
222.61,226.35,221.98,224.63,4/20/2015
223.46,226.35,222.37,222.6,4/19/2015
222.85,224.32,220.88,223.36,4/18/2015
228.58,228.91,221.94,222.88,4/17/2015
223.92,229.67,223.92,228.57,4/16/2015
219.07,223.83,218.65,223.83,4/15/2015
224.76,224.98,216.32,219.16,4/14/2015
235.95,236.94,222,224.59,4/13/2015
236.54,237.73,233.5,236.15,4/12/2015
236.02,239.54,234.18,236.55,4/11/2015
243.69,243.69,232.77,236.07,4/10/2015
244.75,246.12,239.4,243.68,4/9/2015
253.06,253.85,244.22,245.02,4/8/2015
255.27,255.81,252.21,253.18,4/7/2015
260.72,261.8,254.58,255.49,4/6/2015
253.76,260.68,251.94,260.6,4/5/2015
254.29,255.26,251.1,253.7,4/4/2015
253.07,256.04,251.88,254.32,4/3/2015
247.09,254.46,245.42,253.01,4/2/2015
244.22,247.54,241.16,247.27,4/1/2015
247.45,248.73,242.74,244.22,3/31/2015
242.88,249.24,239.21,247.53,3/30/2015
252.74,253.14,240.85,242.71,3/29/2015
246.98,254.21,246.98,252.8,3/28/2015
248.57,256.81,245.21,247.03,3/27/2015
246.28,254.35,244.91,248.53,3/26/2015
247.47,249.19,236.52,246.2,3/25/2015
266.58,267,244.16,245.6,3/24/2015
267.9,277.3,261.75,266.74,3/23/2015
259.92,269.75,259.59,267.96,3/22/2015
261.64,262.2,255.65,260.03,3/21/2015
260.96,264.85,259.16,261.75,3/20/2015
255.88,264.24,248.64,260.93,3/19/2015
285.07,285.34,249.87,256.3,3/18/2015
290.6,292.37,284.37,285.51,3/17/2015
285.69,294.11,285.69,290.59,3/16/2015
281.43,286.53,281,286.39,3/15/2015
284.44,286.34,280.98,281.89,3/14/2015
294.12,294.5,285.34,285.34,3/13/2015
296.13,297.09,292.41,294.35,3/12/2015
291.53,297.39,290.51,296.38,3/11/2015
289.86,300.04,289.74,291.76,3/10/2015
274.81,292.7,273.89,289.61,3/9/2015
276.43,277.86,272.57,274.35,3/8/2015
272.29,277.85,270.13,276.26,3/7/2015
275.6,277.61,270.02,272.72,3/6/2015
